index	15	24	74	90	146	153	164	258
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus	1070.0	126.0	1751.0	163.0	137.0	2331.0	296.0	1363.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	93.0	195.0	330.0	29.0	1.0	195.0	389.0	3119.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-005	126.0	378.0	826.0	96.0	5.0	294.0	61.0	2267.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group;g__[Eubacterium]_coprostanoligenes_group	64.0	2473.0	200.0	37.0	342.0	1233.0	72.0	1308.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium	0.0	1.0	2.0	0.0	0.0	1.0	0.0	2781.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;__	610.0	720.0	1797.0	294.0	694.0	909.0	963.0	7227.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ventriosum_group	21.0	4.0	111.0	6.0	7.0	51.0	171.0	2108.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium]_siraeum_group	82.0	2091.0	247.0	4.0	7.0	40.0	23.0	48.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214_group	703.0	338.0	681.0	212.0	6.0	63.0	3.0	162.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae;g__Anaeroplasma	0.0	0.0	1577.0	1.0	5.0	4.0	24.0	2.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group	41.0	302.0	287.0	104.0	7.0	277.0	599.0	1679.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira	597.0	63.0	825.0	28.0	26.0	120.0	136.0	2841.0
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	9.0	135.0	34.0	82.0	0.0	1508.0	7.0	5.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group	4.0	333.0	1168.0	2.0	2.0	51.0	159.0	952.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group	106.0	46.0	503.0	9.0	3.0	138.0	387.0	1773.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium	144.0	12.0	7.0	2.0	636.0	371.0	20.0	26.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	112.0	278.0	482.0	58.0	849.0	651.0	576.0	1919.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_gauvreauii_group	52.0	22.0	104.0	1.0	1.0	2.0	35.0	1408.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	110.0	390.0	285.0	53.0	4.0	132.0	155.0	462.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010	11.0	136.0	128.0	71.0	2.0	369.0	502.0	122.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella	42.0	4.0	64.0	2.0	198.0	23.0	36.0	637.0
